═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/8/1 07:57:56

【口袋名單】共 186 筆

-- 2026-08-01 批次 第0天 (9隻) --
RELIC | A71分 | 盾:verified | 首日 | 進0.0001692 | 現0.00009535 | 損益-43.6% | 峰值+0.0% | 追蹤中
AGR | A68分 | 盾:verified | 首日 | 進0.0002065 | 現0.00007822 | 損益-62.1% | 峰值+7.7% | 查無報價疑歸零
bul | S91分 | 盾:verified | 首日 | 進0.0001050 | 現0.000002055 | 損益-98.0% | 峰值×2.06 | 查無報價疑歸零
RJ | S79分 | 盾:verified | 首日 | 進0.00006877 | 現0.00001716 | 損益-75.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-15 批次 第16天 (10隻) --
MIM | S88分 | 盾:verified | 首日 | 進0.0004134 | 現0.00001798 | 損益-95.7% | 峰值+0.0% | 陣亡(70%)
Cardtopia | S88分 | 盾:verified | 首日 | 進0.0003908 | 現0.000003808 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
CP | S84分 | 盾:verified | 首日 | 進0.0001418 | 現0.0001416 | 損益-0.1% | 峰值+0.0% | 查無報價疑歸零
BULLCAT | A73分 | 盾:verified | 首日 | 進0.0003698 | 現0.00005608 | 損益-84.8% | 峰值×5.91 | 曾達5x達標
Udin | A64分 | 盾:verified | 首日 | 進0.0003487 | 現0.0002978 | 損益-14.6% | 峰值×2.40 | 曾達2x
LCID | A75分 | 盾:verified | 首日 | 進0.00005505 | 現0.00005397 | 損益-2.0% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A73分 | 盾:verified | 首日 | 進0.00005972 | 現0.0001563 | 損益×2.62 | 峰值×4.30 | 曾達2x
$shart | A71分 | 盾:verified | 首日 | 進0.00002860 | 現0.00002860 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
POINTLESS | A69分 | 盾:verified | 首日 | 進0.00006806 | 現0.000005928 | 損益-91.3% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | B63分 | 盾:verified | 首日 | 進0.005733 | 現0.006592 | 損益+15.0% | 峰值+34.8% | 上漲中

-- 2026-07-14 批次 第17天 (6隻) --
HOOD | S94分 | 盾:verified | 首日 | 進0.0001051 | 現0.0001041 | 損益-1.0% | 峰值+0.0% | 查無報價疑歸零
brain | S85分 | 盾:verified | 首日 | 進0.0005549 | 現0.00001372 | 損益-97.5% | 峰值+20.0% | 陣亡(70%)
Diarrhea | S84分 | 盾:verified | 首日 | 進0.0003178 | 現0.00002553 | 損益-92.0% | 峰值+8.5% | 陣亡(70%)
CashDog | S82分 | 盾:verified | 首日 | 進0.0001129 | 現0.000003906 | 損益-96.5% | 峰值+1.6% | 查無報價疑歸零
PEPE | A72分 | 盾:verified | 首日 | 進0.00006284 | 現0.000001685 | 損益-97.3% | 峰值+36.7% | 查無報價疑歸零
ROAST | B63分 | 盾:verified | 首日 | 進0.00003567 | 現0.00003567 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-13 批次 第18天 (8隻) --
SUNNYS | S92分 | 盾:verified | 首日 | 進0.001218 | 現0.000002987 | 損益-99.8% | 峰值+76.6% | 查無報價疑歸零
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000002346 | 損益-99.5% | 峰值+4.8% | 陣亡(70%)
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000002280 | 損益-99.9% | 峰值+29.3% | 陣亡(70%)
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.000005476 | 損益-98.4% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0001529 | 損益-70.3% | 峰值+2.1% | 陣亡(70%)
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.001017 | 損益-64.4% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.000007399 | 損益-91.9% | 峰值+55.2% | 陣亡(70%)
CASHPIGGY | A71分 | 盾:verified | 首日 | 進0.00002477 | 現0.00002394 | 損益-3.4% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-12 批次 第20天 (7隻) --
BARKITO | S92分 | 盾:verified | 首日 | 進0.0003637 | 現0.000002145 | 損益-99.4% | 峰值+0.0% | 查無報價疑歸零
GHOSTI | S80分 | 盾:verified | 蟬聯2天 | 進0.0001854 | 現0.00003099 | 損益-83.3% | 峰值+2.3% | 陣亡(70%)
CATWIF | A76分 | 盾:verified | 蟬聯2天 | 進0.0004572 | 現0.00009958 | 損益-78.2% | 峰值+12.6% | 陣亡(70%)
LCM | A76分 | 盾:verified | 首日 | 進0.0001853 | 現0.000002788 | 損益-98.5% | 峰值+0.6% | 陣亡(70%)
REX | A75分 | 盾:verified | 首日 | 進0.0003903 | 現0.0001011 | 損益-74.1% | 峰值+44.9% | 陣亡(70%)
CASHCAT | A72分 | 盾:verified | 首日 | 進0.0002099 | 現0.00001734 | 損益-91.7% | 峰值+10.3% | 陣亡(70%)
FrogCat | S94分 | 盾:verified | 首日 | 進0.0001087 | 現0.000001993 | 損益-98.2% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-11 批次 第21天 (10隻) --
PROPHECY | S88分 | 盾:verified | 首日 | 進0.0001267 | 現0.000006405 | 損益-94.9% | 峰值+72.3% | 陣亡(70%)
BatCat | S88分 | 盾:verified | 首日 | 進0.0001253 | 現0.00008212 | 損益-34.5% | 峰值×2.70 | 曾達2x
ASTRA | S80分 | 盾:verified | 首日 | 進0.0002610 | 現0.000001971 | 損益-99.2% | 峰值+51.9% | 查無報價疑歸零
Silk | S80分 | 盾:verified | 首日 | 進0.0001269 | 現0.000003611 | 損益-97.2% | 峰值×2.23 | 陣亡(70%)
Rizzler | A70分 | 盾:verified | 蟬聯2天 | 進0.0001391 | 現0.000003786 | 損益-97.3% | 峰值+13.7% | 陣亡(70%)
SCAPE | A66分 | 盾:verified | 首日 | 進0.00007138 | 現0.00004547 | 損益-36.3% | 峰值×2.81 | 曾達2x
FKB | S87分 | 盾:verified | 首日 | 進0.00003277 | 現0.000001591 | 損益-95.1% | 峰值+0.0% | 查無報價疑歸零
SMOLE | S86分 | 盾:verified | 首日 | 進0.00008333 | 現0.000002752 | 損益-96.7% | 峰值×2.35 | 陣亡(70%)
larry | A77分 | 盾:verified | 首日 | 進0.00007187 | 現0.000001587 | 損益-97.8% | 峰值+0.0% | 查無報價疑歸零
tygary | A71分 | 盾:verified | 首日 | 進0.00003151 | 現0.00005889 | 損益+86.9% | 峰值×2.99 | 曾達2x

-- 2026-07-10 批次 第21天 (10隻) --
ANIF | S95分 | 盾:- | 首日 | 進0.001328 | 現0.000002085 | 損益-99.8% | 峰值+61.8% | 陣亡(70%)
NIGGABULL | S95分 | 盾:- | 首日 | 進0.001270 | 現0.000003708 | 損益-99.7% | 峰值+11.3% | 陣亡(70%)
DARK | S92分 | 盾:- | 首日 | 進0.0007344 | 現0.000005403 | 損益-99.3% | 峰值+57.6% | 陣亡(70%)
tolywifhat | S88分 | 盾:- | 首日 | 進0.001109 | 現0.000004919 | 損益-99.6% | 峰值+22.8% | 陣亡(70%)
CASHCAT | S87分 | 盾:- | 首日 | 進0.0005716 | 現0.00002847 | 損益-95.0% | 峰值×8.35 | 曾達5x達標
HAAL9K | S86分 | 盾:- | 首日 | 進0.001251 | 現0.0002136 | 損益-82.9% | 峰值×5.53 | 曾達5x達標
CAPTOLY | S82分 | 盾:- | 首日 | 進0.0001230 | 現0.000001785 | 損益-98.5% | 峰值+50.1% | 查無報價疑歸零
SPINY | S80分 | 盾:- | 首日 | 進0.0001207 | 現0.000004537 | 損益-96.2% | 峰值×2.83 | 陣亡(70%)
GAYU | A75分 | 盾:- | 首日 | 進0.0002099 | 現0.00004226 | 損益-79.9% | 峰值+56.4% | 陣亡(70%)
LOA | A72分 | 盾:- | 首日 | 進0.0008673 | 現0.0005816 | 損益-32.9% | 峰值+3.4% | 追蹤中

【當前雷達掃描】40 隻（依分數排序，前12）
MySpace | S93分 | MC 147.1K | LQ 30.7K | 1H +30.4% | 24H +197% | 換手923% | 買壓58%
OnlyPump | S90分 | MC 151.7K | LQ 28.5K | 1H -56.9% | 24H +141% | 換手778% | 買壓77%
Cheshire | S89分 | MC 93.0K | LQ 23.1K | 1H -36.6% | 24H +224% | 換手1525% | 買壓59%
